CODPROV,CODIGO,PRODUCTO,PRESENTACION,STOCK,MAYORISTA,CONTADO,MINORISTA,PRECIO COMPRA,RUBRO,SUBRUBRO
KIT 34,0001152RPM,"PORTATABLA ELIPTICO 206 3P , 207 3P ,",UNIDADES,2,112320,129600,181440,86400,ACCESORIOS,NINGUNO
KIT 35,0001153RPM,"PORTATABLA ELIPTICO 206 5P , 207 5P",UNIDADES,0,112320,129600,181440,86400,ACCESORIOS,NINGUNO
KIT 38,0001154RPM,"PORTATABLA ELIPTICO 406 97-05 , LOGAN 14-24 , SANDERO 12-24 / PEUGEOT 406 /",UNIDADES,1,"114671,7","132313,5","185238,9",88209,ACCESORIOS,NINGUNO
KIT 57,0005150RPM,PORTATABLA ELIPTICO AGILE,UNIDADES,0,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 42,0005151RPM,PORTATABLA ELIPTICO C3 13-16 / MONDEO 96-00,UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 100,0005149RPM,PORTATABLA ELIPTICO CHEVROLET S-10 DOB/CAB / LOGAN SIN AGUJERO / SANDERO SIN AGUJERO,UNIDADES,0,"124015,32","143094,6","200332,44","95396,4",ACCESORIOS,NINGUNO
AE 6950N,0003622rpm,PORTATABLA ELIPTICO CHEVROLET SPIN,UNIDADES,2,"108810,7","125550,81","175771,13","83700,54",EQUIPAMIENTO 4X4,NINGUNO
KIT 23,0001151RPM,"PORTATABLA ELIPTICO CLIO 2 3P 00-12 , CLIO 3P 90-98",UNIDADES,2,115128,132840,185976,88560,ACCESORIOS,NINGUNO
KIT 10,0001145RPM,"PORTATABLA ELIPTICO DUNA,UNO 5P 98/01 , 408 10/20 ,",UNIDADES,1,115128,132840,185976,88560,ACCESORIOS,NINGUNO
KIT 26,0005142RPM,PORTATABLA ELIPTICO FLUENCE 4 PTS - MEGANE 10/14,UNIDADES,2,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 80,0005145RPM,PORTATABLA ELIPTICO FORD KA 2008-2011,UNIDADES,2,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 55,0001143RPM,PORTATABLA ELIPTICO FOX 3 P 04-21 CAÑO C,UNIDADES,2,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 53,0003623RPM,PORTATABLA ELIPTICO GOLF 4 5P - BORA 05-14 - VECTRA 93-05 - ALFA ROMEO 146,UNIDADES,3,117234,135270,189378,90180,EQUIPAMIENTO 4X4,NINGUNO
KIT 54,0005148RPM,PORTATABLA ELIPTICO GOLF IV 3P 97-03,UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 120,0005947RPM,PORTATABLA ELIPTICO HYUNDAI H-1 97-08,UNIDADES,1,"114671,7","132313,5","185238,9",88209,EQUIPAMIENTO 4X4,NINGUNO
KIT 52,0001142RPM,PORTATABLA ELIPTICO KWID F 500/TREND/CRONOS/ARGO 308 5P/KA+16/ FIESTA 03 5P/FOCUS 13 4-5P NVO/ECOESPORT/FIESTA 10 5P/RANGER 13DC/FOCUS 15 4-5P MERIVA,UNIDADES,4,115128,132840,185976,88560,ACCESORIOS,NINGUNO
KIT 21,0005946RPM,PORTATABLA ELIPTICO MOBY 5P 16/22 -RENAULT 19 / CLIO 5P 90-98 / CLIO II 5-4P SYMBOL / LAGUNA II 06-08 / 106 5P 04-10 / ONIX PRISMA,UNIDADES,1,112320,129600,181440,86400,EQUIPAMIENTO 4X4,NINGUNO
KIT 14,0001147RPM,PORTATABLA ELIPTICO PALIO 3 P 97/01,UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 45,0005143RPM,PORTATABLA ELIPTICO PEUGEOT 208 5P 13-19 / FOCUS 5P 99-07 / FOX 5P 04-21,UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 59,0006897RPM,PORTATABLA ELIPTICO POLO 2017- 2025 5 P,UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 17,0001149RPM,PORTATABLA ELIPTICO PUNTO 07/17 - CAPTURE 16/23 - 208 5P 20/25 - C4 - LOUNGE 13/21 (1.20),UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 50,0005146RPM,PORTATABLA ELIPTICO RAM RAMPAGE / GOL 3P 95-05 / NISSAN TIIDA 08-15,UNIDADES,1,115128,132840,185976,88560,EQUIPAMIENTO 4X4,NINGUNO
KIT 46,0005144RPM,PORTATABLA ELIPTICO RANGER DOBLE CAB 95-12 / CHRYSLER PT CRUISER 01-10,UNIDADES,2,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 13,0001146RPM,"PORTATABLA ELIPTICO REGATA , FIESTA 95/01 5P , HONDA CITY 4P 2009/2015",UNIDADES,1,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 20,0005091RPM,PORTATABLA ELIPTICO RENAULT 18,UNIDADES,1,115128,132840,185976,88560,ACCESORIOS,NINGUNO
KIT 22,0005141RPM,PORTATABLA ELIPTICO RENAULT MEGANE,UNIDADES,2,115128,132840,185976,88560,ACCESORIOS,NINGUNO
KIT 27,0005138RPM,PORTATABLA ELIPTICO RENAULT SANDERO SIN AGUJERO,UNIDADES,0,117234,135270,189378,90180,ACCESORIOS,NINGUNO
KIT 25,0005139RPM,PORTATABLA ELIPTICO RENAULT TWINGO,UNIDADES,4,115128,132840,185976,88560,ACCESORIOS,NINGUNO
KIT 56,0003624RPM,PORTATABLA ELIPTICO VENTO 13-18 / SONIC 4-5 P / UP 3-5 P,UNIDADES,2,115128,132840,185976,88560,EQUIPAMIENTO 4X4,NINGUNO
AE-5950,0005935RPM,PORTATABLA ELIPTICO VOLKSWAGEN AMAROK,UNIDADES,1,"104478,66","120552,3","168773,22","80368,2",EQUIPAMIENTO 4X4,NINGUNO
KIT 65,0005152RPM,PORTATABLA ELIPTICO XSARA - PICASSO 2001-2013,UNIDADES,1,112320,129600,181440,86400,ACCESORIOS,NINGUNO
328451,0006492RPM,"PORTATABLA FIAT DUNA, SIENA, UNO Y PALIO 5 PTAS",UNIDADES,0,"75598,38","87228,9","122120,46","58152,6",ACCESORIOS,NINGUNO
AE 1075N,0003619rpm,PORTATABLA FIAT QUBO FURGON,UNIDADES,1,"83243,16","96049,8","134469,72","64033,2",EQUIPAMIENTO 4X4,NINGUNO
328213,328213,PORTATABLA FORD FIESTA KINETIC SIN BARRA LONGITUDINAL,UNIDADES,1,"91737,36","105850,8","148191,12","70567,2",ACCESORIOS,NINGUNO
AE 4850 N,0005951RPM,PORTATABLA PARA FORD ECO ESPORT 2013. NEGRO,UNIDADES,0,"108810,7","125550,81","175771,13","83700,54",EQUIPAMIENTO 4X4,NINGUNO
SM 8310 N,0001127RPM,PORTATABLA PARA FORD ECOSPORT 2010,UNIDADES,1,"101080,98","116631,9","163284,66","77754,6",ACCESORIOS,NINGUNO
1080,0007870RPM,PORTATABLA RS RURAL NEGRO,UNIDADES,3,0,0,0,0,ACCESORIOS,NINGUNO
SM-8300 N 1.5,0004253RPM,PORTATABLA SISTEMA MULTIPLE NEGRO 1.50 MTS,UNIDADES,1,"101080,98","116631,9","163284,66","77754,6",ACCESORIOS,NINGUNO
SM-8300 N,0001125RPM,PORTATABLA SISTEMA MULTIPLE UNIV ( RURAL ) NEGRO,UNIDADES,1,52545,"55000,01","77000,01",33900,ACCESORIOS,NINGUNO
JB-011,0002826RPM,PORTATABLA UNIV ADAP KANGOO CA¥O ALUMINIO,UNIDADES,1,"135096,5",140000,196000,93170,ACCESORIOS,NINGUNO
JB-101,0006814RPM,PORTATABLA UNIV RURAL CAÑO NEGRO ECONOMICO,UNIDADES,1,80223,"89999,51","125998,24",26741,ACCESORIOS,NINGUNO
JB-002,0006583RPM,PORTATABLA UNIV RURAL CON LLAVE CAÑO ALUMINIO,UNIDADES,1,106722,"129999,25","182002,51",59290,ACCESORIOS,NINGUNO
JB-001,0003383RPM,PORTATABLA UNIV RURAL CON LLAVE CHI CAÑO HIERRO,UNIDADES,2,"76847,1",79500,111300,52998,ACCESORIOS,NINGUNO
JB-004,0002825RPM,PORTATABLA UNIV TIPO RURAL BARANDA + 2 PISOS 160 X 140 CM,UNIDADES,1,"103533,05",107000,149800,"71402,1",ACCESORIOS,NINGUNO
328532,0006432RPM,PORTATABLA VW GOL TREND / VOYAGE,UNIDADES,0,"91737,36","105850,8","148191,12","70567,2",ACCESORIOS,NINGUNO
SE754,0005735RPM,POSA LATA NEGRA,UNIDADES,0,"112,2","342,5","479,5","52,5",ACCESORIOS,NINGUNO
VA-014,0003744RPM,POSA LATA REBATIBLE PARA REJILLA DE AIRE,UNIDADES,0,"3793,35",4100,5740,"2528,9",ACCESORIOS,NINGUNO
S-A32F,0007212RPM,POTENCIA ALPINE 320.4 RMS,UNIDADES,0,385000,400000,560010,330000,PARLANTES,NINGUNO
S-A60M,0007213RPM,POTENCIA ALPINE 600.1 RMS,UNIDADES,0,534300,534300,748020,411000,PARLANTES,NINGUNO
3000.1,0004881RPM,POTENCIA BANDA 3000 W,UNIDADES,0,526350,560000,"783999,99",350900,POTENCIAS,NINGUNO
VCT2010,0004398RPM,POTENCIA LANZAR 400W 2CH / DISEÑO SLIM / 2 X 400 WATTS EN 4Ω /1 X 800 WATTS EN 2Ω,UNIDADES,0,149999,150000,210000,125000,POTENCIAS,NINGUNO
SD2000.1D EVO 1,0005205RPM,POTENCIA SOUNDIGITAL 2000W 1CH / 1Ω ESTEREO EVO,UNIDADES,0,182000,266000,372400,140000,POTENCIAS,NINGUNO
IR280.4,0005212RPM,POTENCIA STETSOM 280 W 4 CH,UNIDADES,0,106500,115000,161000,71000,ACCESORIOS,NINGUNO
2052,8919,POTENCIA STETSOM 400 W 4 CH HL400.4 2 OHMS,UNIDADES,1,140000,155000,"217421,12",107104,POTENCIAS,NINGUNO
HL800.4,7898954143453,POTENCIA STETSOM 800 RMS 4CH 8914,UNIDADES,1,"306211,1",330000,"461672,12",235547,POTENCIAS,NINGUNO
DS160X2,8095,POTENCIA TARAMPS 160W 2 CH 2 OHMS,UNIDADES,0,127050,128000,179200,84700,POTENCIAS,NINGUNO
DS250X2,0006850RPM,POTENCIA TARAMPS 250 RMS 2 CANALES 2 OHM,UNIDADES,0,"144450,01","149000,01","208600,01",107000,POTENCIAS,NINGUNO
TS-400.4,0001281RPM,POTENCIA TARAMPS 400.4,UNIDADES,0,140000,"145951,4","204331,96",104251,POTENCIAS,NINGUNO
DS-800.4,0001280RPM,POTENCIA TARAMPS 800.4,UNIDADES,0,300375,322625,451675,222500,POTENCIAS,NINGUNO
HD8000,0004099RPM,POTENCIA TARAMPS 8000W / DIGITAL 1Ω,UNIDADES,0,910000,"960117,5","1344164,5",697000,POTENCIAS,NINGUNO
TRIO 400.3,0007174RPM,POTENCIA TARAMPS TRIO 400.3,UNIDADES,0,"151588,8",157004,"219805,6",104544,ACCESORIOS,NINGUNO
,0005089RPM,PRESUPUESTO,UNIDADES,0,0,0,0,0,ACCESORIOS,NINGUNO
STX-2448,101002715905,PROCESADOR DIGITAL DE AUDIO 4 VIAS STETSOM,UNIDADES,1,220000,225000,315000,173830,AUDIO,NINGUNO
PX2,0007219RPM,PROCESADOR EXPERT PX2 6 CANALES,UNIDADES,1,225000,"230002,5",322000,175000,AUDIO,NINGUNO
J4PRO,7898554804860,PROCESADOR JFA J4 PRO,UNIDADES,0,"5608,25","10781,79","15094,51","3268,21",AUDIO,NINGUNO
PP-013,7798160621632,PROTECTOR DE PARAGOLPE CROMADO X 4PZAS,UNIDADES,1,"12190,75","13499,99","18899,99","7647,2",ACCESORIOS,NINGUNO
PP-010,0001790RPM,PROTECTOR DE PARAGOLPE IAEL GRIS,UNIDADES,2,"14066,25",15500,"21699,99","8772,5",ACCESORIOS,NINGUNO
934,0001836RPM,PROTECTOR DE PARAGOLPE KING PACIFIC,,0,0,0,0,0,,
GDT0198,0006614RPM,PROTECTOR DE PARAGOLPE X 2 LARGO,UNIDADES,0,"890,18","1402,03","1962,84","556,36",ACCESORIOS,NINGUNO
PP-004,0003339RPM,PROTECTOR DE PARAGOLPES X4 NEGRO O GRIS,UNIDADES,1,"11628,1",12800,17920,"7270,89",ACCESORIOS,NINGUNO
PPT-215BK,PPT-215BK,PROTECTOR DE PUERTA 4 PIEZAS NEGRO,UNIDADES,0,"4313,65",4800,6720,2783,ACCESORIOS,NINGUNO
PR-021T,0007281RPM,PROTECTOR DE PUERTA / PARAGOLPE,UNIDADES,8,"13234,5","14500,04","20300,06","8271,56",ACCESORIOS,NINGUNO
PR-020G,0007279RPM,PROTECTOR DE PUERTA / PARAGOLPE GRIS,UNIDADES,4,"12409,16","14000,01","19599,85","8272,77",ACCESORIOS,NINGUNO
PR-020N,0007280RPM,PROTECTOR DE PUERTA / PARAGOLPE NEGRO,UNIDADES,2,"12409,16","14000,01","19599,85","8272,77",ACCESORIOS,NINGUNO
PPT-110BL,PPT-110BL,PROTECTOR DE PUERTA 4 PIEZAS AZUL,UNIDADES,0,5320,6200,8680,3800,ACCESORIOS,NINGUNO
SC-204,PPT-110W,PROTECTOR DE PUERTA 4 PIEZAS BLANCO,UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
PPT-110G,PPT-110G,PROTECTOR DE PUERTA 4 PIEZAS GRIS,UNIDADES,0,5320,6200,8680,3800,ACCESORIOS,NINGUNO
SC-204,PPT-110BK,PROTECTOR DE PUERTA 4 PIEZAS NEGRO,UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
SC-202,PPT-225BK,PROTECTOR DE PUERTA 4 PIEZAS NEGRO,UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
PPT-900BKSV,PPT-900BKSV,PROTECTOR DE PUERTA 4 PIEZAS NEGRO,UNIDADES,0,"6001,6","6600,01","9240,01",3872,ACCESORIOS,NINGUNO
PPT-110RD,PPT-110RD,PROTECTOR DE PUERTA 4 PIEZAS ROJO,UNIDADES,1,5320,6200,8680,3800,ACCESORIOS,NINGUNO
PR-016,7798160622431,PROTECTOR DE PUERTA ADHESIVO,UNIDADES,9,"5306,58","6000,08","8399,98","3316,61",ACCESORIOS,NINGUNO
PR-001AZ,0004804RPM,PROTECTOR DE PUERTA CON OJO DE GATO IAEL AZUL,UNIDADES,3,3400,4000,5600,2000,ACCESORIOS,NINGUNO
PR-001R,0004641RPM,PROTECTOR DE PUERTA CON OJO DE GATO IAEL ROJO,UNIDADES,5,3400,4000,5600,2000,ACCESORIOS,NINGUNO
PR-001AM,0006006RPM,PROTECTOR DE PUERTA CON OJO DE GATO P/ENCASTRAR IAEL AMBAR,UNIDADES,2,3400,4000,5600,2000,ACCESORIOS,NINGUNO
PR-001B,0002606RPM,PROTECTOR DE PUERTA CON OJO DE GATO P/ENCASTRAR IAEL BLANCO,UNIDADES,5,3400,4000,5600,2000,ACCESORIOS,NINGUNO
TY-408,0004387rpm,PROTECTOR DE PUERTA ECO FINO X 4 PZAS,UNIDADES,0,4340,5000,7000,2800,EQUIPAMIENTO 4X4,NINGUNO
TY-409,0004388RPM,PROTECTOR DE PUERTA ECO P/ PORTON X 4 PZAS,UNIDADES,0,4340,5000,7000,2800,EQUIPAMIENTO 4X4,NINGUNO
TY-303,0004389RPM,PROTECTOR DE PUERTA ECON ENCASTRE,UNIDADES,0,4340,5000,7000,2800,EQUIPAMIENTO 4X4,NINGUNO
PR-015,0002602RPM,PROTECTOR DE PUERTA P/ADHERIR CON CENTRO BLANCO,UNIDADES,3,"5174,93","5499,99","7699,99","3234,33",ACCESORIOS,NINGUNO
PR-012 - BG212,0002605RPM,PROTECTOR DE PUERTA P/ADHERIR CON CENTRO CROMADO IAEL,UNIDADES,3,"6042,86",6500,9100,"3799,4",ACCESORIOS,NINGUNO
PR-003,0000757RPM,PROTECTOR DE PUERTA P/ADHERIR CON PERLAS X 4,UNIDADES,1,"5989,5",6500,9100,"3799,4",ACCESORIOS,NINGUNO
PR-011,7798160624787,PROTECTOR DE PUERTA P/ADHERIR T/BANANA X2 NEGRO,UNIDADES,4,"4227,38",4500,6300,"2727,34",ACCESORIOS,NINGUNO
TY-038,0002609RPM,PROTECTOR DE PUERTA P/ADHERIR TRANSPARENTE C/BOTON LYF,UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
TY-037,0002608RPM,PROTECTOR DE PUERTA P/ADHERIR TRANSPARENTE FINO LYF,UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
TY-039,0002607RPM,PROTECTOR DE PUERTA P/ADHERIR TRANSPARENTE LYF,UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
PR-007,7798160621014,PROTECTOR DE PUERTA P/ADHERIR TRANSPARENTE R SPORTS,UNIDADES,5,"8223,77",8800,12320,"5332,47",ACCESORIOS,NINGUNO
,6924444781414,PROTECTOR DE PUERTA P/ADHERIR.,UNIDADES,0,0,0,0,0,ACCESORIOS,NINGUNO
PPT-7046SB,0006872RPM,PROTECTOR DE PUERTA PLATA Y AZUL POR 4 PIEZAS,UNIDADES,2,"5319,16","6500,01","5460,12","3799,4",ACCESORIOS,NINGUNO
PR-023T,0007329RPM,PROTECTOR DE PUERTA TRANSP 69 CM ENCASTRE X 4,UNIDADES,3,"6620,52",7000,9800,"4271,3",ACCESORIOS,NINGUNO
PR-024T,0007319RPM,PROTECTOR DE PUERTA TRANSP ENCASTRE X 4,UNIDADES,23,"8439,99","9499,9","13299,96","5239,3",ACCESORIOS,NINGUNO
2066,2066,PROTECTOR DE PUERTA X 4SILICONADA,UNIDADES,5,4340,5000,7000,2800,ACCESORIOS,NINGUNO
GDT0125A,0004731RPM,PROTECTOR DE PUERTAS P/ENCASTRE CON OJO DE GATO NEGRO/AZUL(X UNIDAD),UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
GDT0125,0003443rpm,PROTECTOR DE PUERTAS P/ENCASTRE CON OJO DE GATO NEGRO/TRANSPARENTE(X UNIDAD),UNIDADES,0,4340,5000,7000,2800,ACCESORIOS,NINGUNO
6405,0006904RPM,PROYECTOR BLANCO G5C,UNIDADES,1,144150,158000,221200,93000,ACCESORIOS,NINGUNO
6401,0007661RPM,PROYECTOR G1 CIRCULAR,UNIDADES,1,159200,169150,236810,99500,ACCESORIOS,NINGUNO
6403,0007662RPM,PROYECTOR G1C CUADRADO,UNIDADES,1,159200,170000,"237999,99",99500,ACCESORIOS,NINGUNO
6404,0007203RPM,PROYECTOR G5,UNIDADES,1,143220,157000,219800,92400,XENON,NINGUNO
6905,0006905RPM,PROYECTOR MINI H1 3.0 SIN XENON,UNIDADES,0,56000,59500,"83300,01",35000,ACCESORIOS,NINGUNO
,0006564RPM,PULIDO DE OPTICAS CON SELLADOR PAR,UNIDADES,-2,2000,3696,"5174,4",0,ACCESORIOS,NINGUNO
,0006893RPM,PULIDO DE OPTICAS SIN SELLLADOR PAR,UNIDADES,-1,1200,"2217,6","3104,64",0,ACCESORIOS,NINGUNO
,0003563RPM,PULIDO Y ENCERADO,UNIDADES,-4,4800,"8870,4","12418,56",0,ACCESORIOS,NINGUNO
PLD93GR,0005137RPM,"PYLE MONITOR 9"" APOYA CABEZA GRIS DVD/CD/ HDMI/ INCLUYE PARA MONTURA DEL APOYACABEZAS A PRESIÓN/ USB/SD /RCA/ ALTAVOCES INCORPORADOS.",UNIDADES,0,22490,"37298,8","52218,32",17300,ACCESORIOS,NINGUNO
PSTND1,0005720RPM,PYLE PIE PARA BAFLE,UNIDADES,0,"2256,2","2707,43","3790,41","1504,13",FRENTE ADPTADOR,NINGUNO
60135,0003558rpm,QUICK REPAIR X 443 ML SLIME,,0,0,"778,95","1090,53","107,4",SEGURIDAD,NINGUNO
,0006688RPM,QUITA INSECTOS EN GATILLO K78 500 CM,UNIDADES,1,"5898,6",5900,8260,180,COSMETICA,NINGUNO
812177,0002657RPM,RADIADOR DE CALEFACCION PARA GOL 95 > PARATI 95 > SAVEIRO 95 >VOYAGE 95 >,,0,0,0,0,0,,
TE-006,0006007RPM,RED ELASTICA CON GANCHOS DE METAL 30 X 30 CM,UNIDADES,2,"3013,63",3300,4620,"2152,59",ACCESORIOS,NINGUNO
TE-005,0001498RPM,RED ELASTICA P/CARGA 130 X 180 CM IAEL,UNIDADES,0,"23949,77",25660,35924,"17106,98",ACCESORIOS,NINGUNO
TE-003,0001500RPM,RED ELASTICA P/CARGA 70 X 90 CM IAEL,UNIDADES,3,"8808,8",9500,"13300,01",6292,ACCESORIOS,NINGUNO
.,0002729RPM,REFRIGERANTE PROMOCION (KIT),UNIDADES,5,"8099,99",9000,12600,4500,COSMETICA,NINGUNO
ZONE 1,0007064RPM,REFRIGERANTE SHELL ZONE TIPO A 1 LT CONCENTRADO,UNIDADES,0,"3787,5","5320,03","7448,03",505,ACCESORIOS,NINGUNO
1025,7798038704955,REFRIGERANTE WAGNER TIPO A 1 LT. ROJO CONCENTRADO,UNIDADES,6,18150,19500,27300,12100,COSMETICA,NINGUNO
RL-AJK,7897070190419,REGLA DE LED AJK PARA CONTROLADOR MINI VU BLANCO,UNIDADES,1,54000,60000,84000,30000,ELECTRICIDAD,NINGUNO
RNB 026,0005577RPM,REGULADOR DE VOLTAJE ELECTRONICO INCORPORADO 12V NOSSO,UNIDADES,0,"303,6","951,36","1331,9",168,ELECTRICIDAD,NINGUNO
IJ1,0005578RPM,REGULADOR DE VOLTAJE ELECTRONICO INCORPORADO 12V NOSSO,UNIDADES,0,"303,6","951,36","1331,9","157,5",ELECTRICIDAD,NINGUNO
F-1515,0001975RPM,REGULADOR DE VOLTAJE UNIVERSAL RALUX,UNIDADES,0,600,"1201,19","1681,67","174,13",ELECTRICIDAD,NINGUNO
17503,0003786rpm,"REJA 12""",,0,0,"220,72","309,01","30,16",AUDIO,NINGUNO
17504,0003787rpm,"REJA 15""",,0,0,"357,7","500,78","49,35",AUDIO,NINGUNO
ST-150,0007066RPM,REJA 6X9 PLASTICA MAS CHAPA C/U,UNIDADES,0,400,"693,01","970,21",296,AUDIO,NINGUNO
17502,0003785rpm,"REJA DE 10"" (C)",,0,0,"152,21","213,09","20,88",AUDIO,NINGUNO
17501,0003784rpm,"REJA DE 8"" (C)",,0,0,"121,77","170,48","16,23",AUDIO,NINGUNO
17511,0004224RPM,"REJA DE CHAPA 6X9"" C/U",UNIDADES,0,0,"228,33","319,66","28,35",ACCESORIOS,NINGUNO
5322/1,0000628RPM,REJILLA CROMADA FIAT PALIO/SIENA 01/07 FIRE,,0,0,"875,24","1225,34",0,CROMADOS,NINGUNO
RT-003,0002601RPM,REJILLA DE ALUMINIO 250 X 1000 MM,UNIDADES,0,"664,44","1441,43",2018,"251,68",ACCESORIOS,NINGUNO
,0005569RPM,"REJILLA LAVA COCHE ""CLEAN"" 57X50CM",UNIDADES,0,200,385,539,"17,85",COSMETICA,NINGUNO
42X58,0004157RPM,REJILLA LAVA COCHE MEDIA NARANJA,UNIDADES,0,250,462,"646,8",15,ACCESORIOS,NINGUNO
KU-35N,0003687RPM,RELAY UNIVERSAL 12V 50A 4T KUBE,UNIDADES,-3,2500,3000,"4199,93","1427,8",ELECTRICIDAD,NINGUNO
K01,0005650RPM,RELOJ CON TERMOMETRO DIGITAL CON LUZ AZUL PARA TABLERO,UNIDADES,0,"409,2","1331,89","1864,65","228,56",ACCESORIOS,NINGUNO
RE504,0006864RPM,RELOJ DIGITAL DE EMPOTRAR 12 V,UNIDADES,-1,"1004,8","2032,8","2845,92",628,ACCESORIOS,NINGUNO
RE33,0006865RPM,RELOJ DIGITAL JUMBO,UNIDADES,0,550,"1108,8","1552,32",342,ACCESORIOS,NINGUNO
BD-250R,8144,REPARO DRIVER BD-250 D250 ECONOMICO,UNIDADES,14,19000,"20000,01","28000,01",10000,AUDIO,NINGUNO
8216,0005092RPM,REPARO DRIVER BLAULINE BD-200 8 OHMS,UNIDADES,18,"17457,4",19900,27860,"7935,18",AUDIO,NINGUNO
01.01.0190,7291,REPARO DRIVER BOMBER DB200 MODELO ANTERIOR SPYDER 7291,UNIDADES,2,"19160,96",19500,27300,"8330,85",AUDIO,NINGUNO
01.01.0271,7988,REPARO DRIVER BOMBER DB200X 8 OHMS,UNIDADES,15,"18445,24","20000,01","28000,01","9970,4",AUDIO,NINGUNO
RPD300,7896359520480,"REPARO DRIVER SELENIUM JBL 300 Y 305 2""",UNIDADES,0,"63319,2","66001,22","92400,8",45228,AUDIO,NINGUNO
RPD400,0005284RPM,REPARO DRIVER SELENIUM JBL 400 / 405,UNIDADES,11,94500,101500,142100,70000,ACCESORIOS,NINGUNO
RPD405 TRIO,0000863RPM,REPARO DRIVER SELENIUM JBL 405 TRIO,UNIDADES,3,"109012,4",116799,"163518,6",77866,AUDIO,NINGUNO
RPD450 TI TR,0005400RPM,REPARO DRIVER SELENIUM JBL 450TI TRIO,UNIDADES,2,"75965,4","81391,5","113948,1",54261,ACCESORIOS,NINGUNO
RPD220TI,0005482RPM,REPARO DRIVER SELENIUM JBL D220TI,UNIDADES,3,39100,41400,57960,23000,AUDIO,NINGUNO
RPDH200,7896359520558,REPARO DRIVER SELENIUM JBL DH200,UNIDADES,2,14000,15000,21000,10000,AUDIO,NINGUNO
REPARO-DRV400,0006037RPM,REPARO DRIVER SPYDER DRV 400,UNIDADES,3,24000,26400,"36959,99",12000,AUDIO,NINGUNO
TU-2070,657559650714,REPARO DRIVER VOYZ AB15PSS,UNIDADES,16,14400,16000,22400,8000,AUDIO,NINGUNO
TU-2520,0005221RPM,REPARO DRIVER VOYZ VZ60D,UNIDADES,2,12240,13000,18200,6800,AUDIO,NINGUNO
ATV4061,784644223222,REPARO TWEETER AUDIOPIPE,UNIDADES,1,28800,32000,44800,16000,AUDIO,NINGUNO
REPBT-400/R,REPBT-400/R,REPARO TWEETER BLAULINE JBL BT-400R 8148,UNIDADES,1,22264,24200,33880,9680,ACCESORIOS,NINGUNO
01.01.0228,7880,REPARO TWEETER BOMBER STB350 STB320 7880,UNIDADES,23,"17302,27",18500,25900,"9106,46",AUDIO,NINGUNO
RPST450,0004600RPM,REPARO TWEETER SELENIUM JBL ST450,UNIDADES,1,50400,56000,78400,28000,AUDIO,NINGUNO
RPST400,7896359520473,REPARO TWEETER SELENIUM ST400,UNIDADES,1,"29947,5",35937,"50311,8",19965,AUDIO,NINGUNO
REPARO-STW200,0006038RPM,REPARO TWEETER SPYDER STW 200,UNIDADES,1,"17599,99",19200,26880,8000,AUDIO,NINGUNO
TW46,0005219RPM,REPARO TWEETER TW46,UNIDADES,2,12573,14000,19600,6985,AUDIO,NINGUNO
RPST304,0005268RPM,REPARO TWETEER 304 BLAULINE 8214 JH09 5039,UNIDADES,21,"20407,74",22200,31080,"8872,93",AUDIO,NINGUNO
6381,0006381RPM,RESISTENCIA PARA CREE LED 50W 0 25W PAR,UNIDADES,0,9750,11000,15400,3900,ACCESORIOS,NINGUNO
TS36699785NT,0007757RPM,REVITALIDOR DE CUERO SPRAY LEATHER TOXIC SHINE,UNIDADES,2,"20861,61",22400,"31360,01","14901,15",ACCESORIOS,NINGUNO
,0006722RPM,REVITALIZADOR DE CUEROS Y VINILOS,UNIDADES,0,1008,"2069,76","2897,66",560,ACCESORIOS,NINGUNO
,0006723RPM,REVITALIZADOR DE CUEROS Y VINILOS MOMO,UNIDADES,1,7820,8000,"11199,99",460,ACCESORIOS,NINGUNO
,0006721RPM,REVIVIDOR DE NEGRO GATILLO MOMO 500CM,UNIDADES,0,6750,9800,13720,4500,ACCESORIOS,NINGUNO
